id,x,y,cluster,weight<Links>,weight<Total link strength>,label,score<AI2015>,Weight<AICount2015>,score<AI2016>,Weight<AICount2016>,score<AI2017>,Weight<AICount2017>,score<AI2018>,Weight<AICount2018>,score<AI2019>,Weight<AICount2019>,score<AI2020>,Weight<AICount2020>,score<AI2021>,Weight<AICount2021>,score<AI2022>,Weight<AICount2022>,score<AI2023>,Weight<AICount2023>,score<AI2024>,Weight<AICount2024>
A47J,0.4814,0.1358,7,595,482621,KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES,56,56,73,73,149,149,240,240,356,356,301,301,233,233,179,179,175,175,64,64
A47K,0.0803,-0.0564,6,570,350745,SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR (connecting to water supply or waste pipe. sinks E03C;water-closets E03D); TOILET ACCESSORIES (cosmetic equipment A45D),11,11,12,12,19,19,52,52,37,37,69,69,69,69,41,41,23,23,14,14
A47L,0.0978,-0.079,6,602,365506,DOMESTIC WASHING OR CLEANING (brushes A46B;cleaning quantities of bottles or of other hollow articles of one kind B08B0009000000;laundry D06F); SUCTION CLEANERS IN GENERAL (cleaning in general B08),1080,1080,1402,1402,2167,2167,2738,2738,3206,3206,4143,4143,4133,4133,3532,3532,2370,2370,691,691
A61B,-0.2117,-0.2434,1,631,2640665,DIAGNOSIS; SURGERY; IDENTIFICATION (usefulness limited to only animals A61D),2919,2919,3427,3427,4106,4106,5636,5636,6928,6928,8223,8223,9539,9539,9806,9806,8047,8047,4199,4199
A61C,0.1716,-0.2825,2,555,294498,DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B;preparations for dentistry A61K0006000000; preparations for cleaning the teeth or mouth A61K0008000000. A61Q0011000000),56,56,63,63,91,91,127,127,187,187,234,234,288,288,298,298,193,193,117,117
A61D,0.4257,-0.3657,8,429,74222,VETERINARY INSTRUMENTS. IMPLEMENTS. TOOLS. OR METHODS,5,5,7,7,9,9,12,12,24,24,23,23,20,20,32,32,15,15,13,13
A61F,0.0942,-0.4069,2,629,1489164,FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO. OR PREVENTING COLLAPSING OF. TUBULAR STRUCTURES OF THE BODY. e.g. STENTS; ORTHOPAEDIC. NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES. DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C),147,147,158,158,189,189,222,222,312,312,320,320,332,332,362,362,260,260,140,140
A61G,-0.2968,-0.1578,6,558,356757,TRANSPORT. PERSONAL CONVEYANCES. OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H0003000000); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N0001000000),151,151,198,198,204,204,228,228,273,273,360,360,354,354,271,271,241,241,110,110
A61H,-0.1723,-0.3119,6,565,444841,PHYSICAL THERAPY APPARATUS. e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY (electrotherapy. magnetotherapy. radiation therapy. ultrasound therapy A61N),295,295,457,457,631,631,774,774,885,885,922,922,952,952,726,726,699,699,352,352
A61J,0.3381,-0.2448,2,536,412313,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE,57,57,59,59,60,60,96,96,74,74,90,90,84,84,56,56,67,67,27,27
