id	x	y	cluster	weight<Links>	weight<Total link strength>
E06C	-0.4253	0.2335	6	427	43663
E21B	-0.0569	0.3887	4	597	651353
E21C	-0.105	0.5371	4	479	111443
E21D	-0.1745	0.476	4	519	199549
E21F	-0.2379	0.51	4	507	142469
E99Z	-0.3003	0.2859	6	45	61
F01B	-0.1645	1.0056	4	483	94380
F01C	-0.1164	1.1039	4	409	97438
F01D	0.0797	0.7563	4	563	476940
F01K	0.3204	0.9523	4	455	180183
F01L	-0.224	0.9142	4	459	190762
F01M	-0.11	0.8935	4	434	180667
F01N	0.0586	0.6949	4	550	507887
F01P	-0.1975	0.8924	4	455	226834
F02B	-0.1537	0.8033	4	580	880121
F02C	0.1297	0.8622	4	509	397998
F02D	-0.3359	0.7526	4	525	853855
F02F	-0.138	0.8824	4	438	268252
F02G	0.0884	1.0176	4	431	87037
F02K	-0.1532	0.8223	4	442	109544
F02M	-0.1389	0.7767	4	575	693381
F02N	-0.4976	0.8452	4	410	133779
F02P	-0.4041	0.7749	4	426	169502
F03B	-0.2387	0.716	4	494	111249
F03C	-0.1853	1.0894	4	366	52328
F03D	-0.3504	0.507	4	522	195995
F03G	-0.1993	0.6641	4	530	106628
F03H	-0.3714	0.6252	1	267	9642
F04B	-0.0741	0.6566	4	606	581808
F04C	-0.0857	0.9422	4	518	212166
F04D	-0.0482	0.5879	4	603	489463
F04F	0.1213	0.7169	4	474	57264
F15B	-0.2744	0.5159	4	589	432001
F15C	-0.2719	0.458	4	427	39406
F15D	0.0632	0.6154	4	460	44922
F16B	-0.2431	0.0632	6	620	830462
F16C	-0.173	0.2459	4	602	789698
F16D	-0.4142	0.4455	4	606	672950
F16F	-0.3592	0.2999	4	625	836797
F16G	-0.1519	-0.0409	4	531	138916
F16H	-0.3314	0.3909	4	620	1025009
F16J	-0.0365	0.4928	4	599	532765
F16K	-0.0066	0.4825	4	619	843436
F16L	0.0132	0.2933	4	631	1088103
F16M	-0.4783	0.0664	1	607	586024
F16N	-0.1492	0.5613	4	546	150178
F16P	-0.1921	0.0319	5	517	59902
F16S	-0.2011	0.1059	6	454	56870
F16T	0.0938	0.7591	4	316	16060
