id,x,y,cluster,weight<Links>,weight<Total link strength>,label
B04C,0.7915,0.3801,3,477,70949,APPARATUS USING FREE VORTEX FLOW. e.g. CYCLONES (exhaust or silencing apparatus for machines or engines having means for removing solid constituents of exhaust. using inertial or centrifugal separators F01N0003037000;cyclonic type combustion apparatus F23)
B05B,0.1727,0.0638,2,629,795654,SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES (spray-mixers with nozzles B01F0025720000;processes for applying liquids or other fluent materials to surfaces by spraying B05D)
B05C,0.1832,-0.3181,2,603,556318,APPARATUS FOR APPLYING FLUENT MATERIALS TO SURFACES. IN GENERAL (spraying apparatus. atomising apparatus. nozzles B05B;plant for applying liquids or other fluent materials to objects by electrostatic spraying B05B0005080000)
B05D,0.2567,-0.2354,2,631,1109426,PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES. IN GENERAL (conveying articles or workpieces through baths of liquid B65G. e.g. B65G0049020000)
B06B,-0.4523,0.0013,1,570,152446,GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL (for particular physical or chemical processes. see the relevant subclasses. e.g. B07B0001400000. B22C0019060000. B23Q0017120000. B24B0031060000. E01C0019220000;measurement of mechanical vibrations. including the combination of generation and measurement. G01H;systems using reflection or reradiation of acoustic waves G01S0015000000;generating seismic energy for prospecting G01V0001020000;control of mechanical vibrations G05D0019000000;methods or devices for transmitting. conducting or directing sound. in general G10K0011000000;synthesis of acoustic waves G10K0015020000;piezoelectric. electrostrictive or magnetostrictive elements H10N0030000000. H10N0035000000;motors with vibrating magnet. armature or coil H02K0033000000;motors using piezoelectric effect. electrostriction or magnetostriction H02N0002000000;generation of electrical oscillations H03B;electromechanical resonators as resonant circuit elements H03H;loudspeakers. microphones. gramophone pick-ups or like acoustic electromechanical transducers H04R)
B07B,0.741,0.086,3,570,315419,SEPARATING SOLIDS FROM SOLIDS BY SIEVING. SCREENING. SIFTING OR BY USING GAS CURRENTS; SEPARATING BY OTHER DRY METHODS APPLICABLE TO BULK MATERIAL. e.g. LOOSE ARTICLES FIT TO BE HANDLED LIKE BULK MATERIAL (wet separating processes. sorting by processes using fluent material in the same way as liquid B03;combinations of dry separating apparatus with wet separating apparatus B03B;using liquids B03B. B03D;sorting by magnetic or electrostatic separation of solid materials from solid materials or fluids. separation by high voltage electric fields B03C;centrifuges or vortex apparatus for carrying out physical processes B04;hand sorting. postal sorting. sorting by switching or other devices actuated in response to detection or measurement of some feature of articles or samples of material B07C)
B07C,-0.0153,-0.1834,1,562,193956,POSTAL SORTING; SORTING INDIVIDUAL ARTICLES. OR BULK MATERIAL FIT TO BE SORTED PIECE-MEAL. e.g. BY PICKING (specially adapted for a specific purpose covered by another class. see the relevant place. e.g. A43D0033060000. B23Q0007120000)
B08B,0.2317,0.0378,3,635,1367136,CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL 
B09B,0.7364,0.2023,3,578,389988,DISPOSAL OF SOLID WASTE NOT OTHERWISE PROVIDED FOR
B09C,0.9718,0.2183,3,386,113692,RECLAMATION OF CONTAMINATED SOIL (gatherers for removing stones or the like from the soil A01B0043000000;  sterilising soil by steam A01G0011000000;    removing undesirable matter. e.g. rubbish. from the land E01H0015000000)
B21B,0.2187,0.2074,5,547,298934,ROLLING OF METAL (auxiliary operations used in connection with metal-working operations covered in B21. seeB21C;bending by rolling B21D;manufacture of particular objects. e.g. screws. wheels. rings. barrels. balls. by rolling B21H;pressure welding by means of a rolling mill B23K0020040000)
B21C,0.1291,0.1167,5,565,329100,MANUFACTURE OF METAL SHEETS. WIRE. RODS. TUBES. PROFILES OR LIKE SEMI-MANUFACTURED PRODUCTS OTHERWISE THAN BY ROLLING; AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL
B21D,0.0574,0.0861,5,621,682114,WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES. RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL (working or processing of wire B21F)
B21F,-0.0064,-0.0897,5,520,126875,WORKING OR PROCESSING OF METAL WIRE (rolling of metal B21B;by drawing. auxiliary operations used in connection with metal-working without essentially removing material B21C;bundling articles B65B0013000000)
B21G,0.0515,-0.1474,5,243,10709,MAKING NEEDLES. PINS OR NAILS OF METAL
B21H,0.078,0.2855,5,399,51805,MAKING PARTICULAR METAL OBJECTS BY ROLLING. e.g. SCREWS. WHEELS. RINGS. BARRELS. BALLS (essentially from sheet metal B21D)
